842888281809285100, ⒍ Jong PSV
⒎ André Hazes
⒏ Turken in Europa
⒐ FC Eindhoven
⒑ De Ligt

2017/3/18 00:57 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489795201147, 842888280265834500, 1166383453, trendinaliaNL
842888280265834500, ⒈ #Spekman
⒉ #SwallaVideo
⒊ #nacjaj
⒋ #rodtwe
⒌ #dorvvv

2017/3/18 00:57 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, und, 1489795200779, , , 
842888294425903100, 00:41 Temp. 7.6°C, Hum. 88%, Dewp. 5.1°C, Bar. 1003.8 hpa, Rain Today 1.4595 mm, Wind 175° 5.0 km/h, 52.35548, 4.80548, <a href="http://plus.meteoware.com/netatmo/" rel="nofollow">MeteoWare Plus+</a>, 19116083, en, 1489795204155, , , 
842888771121168400, File op N205 Stilstaand verkeer #N205 #N205_HIL #file #fileleed #verkeer https://t.co/BDNm2QSbiB, 52.26926, 4.58609, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489795317808, , , 
842889381253861400, His grace is sufficient, what you see today is the work of the blood… https://t.co/v0shSGbVjh, 52.25, 4.667, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 544651901, en, 1489795463275, , , 
842890123570298900, Drinking an Australian IPA by @hawthornbrewing @ King - The Number Of The Beast — https://t.co/D8iNzEXKdF #photo, 52.3556, 4.83953, <a href="https://untappd.com" rel="nofollow">Untappd</a>, 18782989, en, 1489795640257, , , 
842890194495963100, How I walk away from drama, negativity and fake people… https://t.co/2PXT1daCal, 52.25, 4.667, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 544651901, en, 1489795657167, , , 
842890932009816000, B2 (Contact MKA: ) Amsterdam Nieuwezijds Voorburgwal 1012RD 35 Basisteam Centrum Burgwallen https://t.co/r2HVBkdGi8 #p2000, 52.3761231, 4.8935832, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489795833004, , , 
842890989069127700, I am the Queen of my castle :-)
#ownyourcrown👑👑👑 
#queen👑… https://t.co/slkoInfQYA, 52.25, 4.667, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 544651901, en, 1489795846608, , , 
842891519140872200, #Merkel just started trending with 47134 tweets. More trends at https://t.co/tOVVBU3TJP #trndnl, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, en, 1489795972987, , , 
842892087716708400, It might be St. Patrick's Day but I'm still celebrating the victory that happened in a different… https://t.co/I0AWaNBkfc, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 1061778571, en, 1489796108546, , , 
842892604253618200, B1 13106 Rit 32426 Amsterdam Oosterpark 1091AC 9 OLVGO C3 ccu https://t.co/XBqMsieXKw #p2000, 52.3591188, 4.916442, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489796231698, , , 
842892825427624000, P 1 Ass. Ambu (Afhijsen) (Etage: 1) , Mercatorstraat 26 B Amsterdam [ 13ALH 13GG04 13ASH ] https://t.co/MN1lIv9yPM #p2000, 52.3741202, 4.849234, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489796284430, , , 
842893305142681600, ⒈ #Spekman
⒉ #SwallaVideo
⒊ #nacjaj
⒋ #rodtwe
⒌ #dorvvv

2017/3/18 01:11 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, und, 1489796398803, , , 
842893306354786300, ⒍ Jong PSV
⒎ André Hazes
⒏ Turken in Europa
⒐ FC Eindhoven
⒑ De Ligt

2017/3/18 01:11 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489796399092, 842893305142681600, 1166383453, trendinaliaNL
