city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
newyork,974232734427409867_520666690,Normal,1430357613,-74.040706744,40.741976701,0,0,#281f1b,#e5d3b3,#999b8f,#818284,#b45338
tokyo,974143665125588698_1441980126,Normal,1430346995,139.781456155,35.704418143,0,0,#d68e50,#4d1a0b,#7e300d,#f3e3bf,#facf8d
moscow,974297166874627161_1493578794,Juno,1430365294,37.660156944,55.786327222,1,0,#cab89a,#116333,#6c4530,#7c6c3d,#698264
seoul,974273782758356679_293104716,Amaro,1430362507,127.007310724,37.577372127,6,0,#594b64,#daceb5,#9f928c,#bca191,#aba6bc
newyork,974195926031534541_30198969,Normal,1430353225,-74.043294,40.720003,0,0,#855c5c,#d0c8b7,#2b201e,#d0917d,#b4a5b9
seoul,974176775939207133_1174429778,Normal,1430350943,126.971669456,37.553421502,0,0,#d9cbc3,#2d4853,#9a6f4b,#727676,#5f5c5d
newyork,974201438135744925_1579554189,Normal,1430353883,-74.06693085,40.73487622,4,1,#b0ab96,#3f4c46,#656c64,#5c4742,#635d4c
london,974183394714612762_196445796,Normal,1430351732,-0.141667863,51.515164147,0,0,#7a7469,#cdc2b7,#1c1d1d,#adaea8,#8d9ba7
london,974146434869833128_15102122,Lark,1430347326,-0.111061783,51.502549217,0,0,#ac915d,#372c28,#603c25,#d9c2c6,#e5d9a5
newyork,974107348980634526_11101443,Normal,1430342666,-74.042859314,40.714066081,36,1,#788087,#e1e3e8,#b7bcc4,#344047,#bcc4ca
rome,974084575102591492_291922903,Normal,1430339951,12.5017708,41.8975116,0,0,#ebebeb,#191919,#a7a7a7,#747474,#848484
rome,974105685145172749_2058444365,Perpetua,1430342468,12.479175,41.908919444,1,0,#d4a137,#eee4ca,#e4ce9a,#8c3e0b,#6c5c20
london,974124591663316868_426741054,Normal,1430344722,-0.1157,51.5072,1,0,#a3846e,#281e1a,#663429,#6b5142,#6a4731
newyork,974243077832887767_201276842,Crema,1430358846,-74.029305774,40.742816361,2,0,#e3c9b1,#392228,#9d5c4d,#a6a17c,#8c8c8c
london,974047164173047585_1418690180,Normal,1430335492,-0.116275,51.507453333,1,0,#494a58,#e1c0ad,#9c6a5e,#aca4a0,#9196a4
paris,974065885759885983_194310723,Normal,1430337723,2.32573,48.844103333,3,0,#110f19,#c09edc,#3a3063,#5422d5,#7c847c
moscow,974178112190138959_1448805881,Normal,1430351102,37.626586801,55.768819336,2,0,#252627,#e7e5dc,#72716d,#949494,#8c8c84
london,974822748151419060_226135579,Normal,1430427948,-0.134647145,51.514203883,1,0,#b2cf96,#343f49,#51545c,#62846e,#afd921
