city,url,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11111443_1434818756815866_694990276_n.jpg,Normal,1428077234,-0.124533333,51.50793,1,0,#1f1b18,#dfd7c5,#85928d,#a9363d,#808284
rome,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11098319_934657213240958_119315017_n.jpg,Brannan,1428073606,12.492975,41.89553,0,0,#584448,#ece4ce,#948c81,#c7837a,#b9a9b5
stockholm,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11123760_758279567620946_1122280283_n.jpg,Normal,1428075470,18.050630681,59.349191795,8,1,#77514a,#292228,#f0ead2,#d26f52,#ac9fb3
tokyo,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s150x150/e15/10731736_1374802842848973_1392274713_n.jpg,Normal,1428073583,139.771956315,35.708756925,0,0,#df9c61,#472112,#b5835d,#a26537,#a47464
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11098250_643337295772806_161988589_n.jpg,Normal,1427909845,-0.097197167,51.532795,0,0,#705f5c,#dcddde,#ca9d8e,#201f2c,#b3aca1
tokyo,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s150x150/e15/10723957_944545625578625_328129995_n.jpg,Normal,1427910294,139.728858321,35.729187691,0,0,#cd9d7d,#141f3c,#81a29a,#715a4d,#5486a6
tokyo,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084944_1726927744200496_1060616544_n.jpg,Normal,1427910359,139.709164891,35.70354552,0,0,#bc756b,#342421,#f0d0b3,#65493c,#98a8b4
tokyo,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s150x150/e15/10727341_1086007084749056_741211275_n.jpg,Crema,1427909616,139.797171584,35.71781637,0,0,#784838,#e5cd99,#211318,#cc9b57,#c6a996
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111432_436057103220669_720353782_n.jpg,Normal,1427911085,-0.131118722,51.517520051,3,0,#d8b69d,#2b3029,#83614a,#9ca585,#9c9494
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11093007_816220598426379_1760282749_n.jpg,Normal,1427910559,-0.137382848,51.52568158,2,0,#e6e2da,#454644,#958982,#954e49,#876f51
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055957_824524864250247_1769644001_n.jpg,Normal,1427910916,-0.130936167,51.51658,0,0,#17244e,#cd9f68,#5b7190,#6880b5,#84bce4
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11092999_1576071612676447_329448112_n.jpg,Nashville,1427925892,-0.129147167,51.510813333,0,0,#dbaca6,#16154e,#6e8f8c,#4d5a83,#7e74a4
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111252_426211337554521_1247032255_n.jpg,Normal,1427916777,-0.174828333,51.49633,0,0,#393939,#d5d5d5,#a7a7a7,#8a8a8a,#9c9c9c
tokyo,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/10616994_643801229099399_133365693_n.jpg,Normal,1427931054,139.7529278,35.651368,0,0,#6f6e6c,#dad8d6,#21262e,#b0b5b5,#a4a9b5
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055595_873590579371361_1159464405_n.jpg,Normal,1427928659,-0.169073389,51.524009694,0,0,#493738,#ccb3a4,#87d2e3,#936055,#638ca6
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11111452_934716123235876_963296586_n.jpg,Normal,1427920123,-0.139235554,51.529856861,3,0,#27373d,#f4eae5,#a8422e,#97a5a7,#d0856a
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/10946344_922720031092366_2082008097_n.jpg,Ludwig,1427920405,-0.134005088,51.564809657,0,0,#bd6912,#cfa385,#351c0e,#792b05,#724c37
newyork,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/10946531_817146991705184_2099537482_n.jpg,Normal,1427910078,-74.04198026,40.72831085,0,0,#1f1a1c,#d2b8d3,#9f748b,#7e6271,#8c8c94
stockholm,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11093090_791793070907184_712697292_n.jpg,Valencia,1428074989,18.0088,59.327213333,1,0,#c0bba6,#381c2d,#847671,#a7907b,#9c919c
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11137900_912657332090488_654506959_n.jpg,Ludwig,1428078529,-0.15438793,51.518357315,0,0,#763117,#da7943,#1b0a07,#b29860,#9e7e6c
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/10881857_1627128760832858_1889031051_n.jpg,X-Pro II,1428077381,-0.131088833,51.513283333,0,0,#deae92,#2b1f39,#855054,#a09d85,#a48484
tokyo,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/10986068_683942261752672_808122293_n.jpg,Rise,1428076938,139.709428333,35.686745,0,0,#948378,#2e2529,#bcc5d3,#dacab4,#523935
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084946_685842144853386_377066926_n.jpg,Normal,1428080390,-0.131186454,51.510504633,0,0,#402422,#e3ae98,#94b58b,#226fcc,#a16144
london,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s150x150/e15/10549901_397927573722881_2042433949_n.jpg,Ludwig,1428080889,-0.157198048,51.548418353,1,0,#886d55,#2a1c11,#d9d8ca,#b2b2b5,#6c240f
rome,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11137712_813918491994733_501519886_n.jpg,Rise,1428080970,12.4611424,41.9179014,0,0,#92505e,#22222e,#eaf3ed,#ad9f90,#d2a7ba
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11098497_428407160667922_1946509521_n.jpg,Crema,1428080953,-0.121311167,51.512558333,1,0,#a99d8e,#363132,#dcd6bb,#514f4c,#5e4e43
seoul,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084673_358222584376522_1406539753_n.jpg,Normal,1428081826,127.018778296,37.570297292,4,1,#56572b,#d8d4bd,#adc6d7,#9eaeaf,#a19772
paris,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11098585_923212621042380_1515579871_n.jpg,Crema,1428080931,2.323693719,48.851393084,0,0,#eaddd6,#6d312f,#b36f50,#b87775,#736864
london,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s150x150/e15/10454156_446976888794126_125519861_n.jpg,Normal,1428080300,-0.141304246,51.547929649,1,0,#404433,#e1decf,#8b866b,#9d9e9e,#96ac5c
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055874_867153343321645_789903006_n.jpg,X-Pro II,1428081628,37.633315936,55.722154629,1,0,#2b2443,#d5bfa2,#6a6d81,#8a9c9a,#4277a4
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/10956803_1584850891801938_1839428483_n.jpg,Earlybird,1428080420,-0.124,51.501458333,0,0,#d0c4aa,#44292c,#7b654e,#6a5645,#8e7a63
moscow,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111504_653685964737325_1403086741_n.jpg,Normal,1428080901,37.625658765,55.771644287,37,0,#c6b7b9,#1d171c,#a08c8a,#6e6969,#7c8484
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084617_794295004018382_1576137069_n.jpg,X-Pro II,1428081547,-0.0909305,51.5295,0,0,#332f48,#d0bf9f,#aea994,#98897f,#a4949c
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084940_809843182423107_336618399_n.jpg,Normal,1428081147,-0.124555873,51.506629476,1,0,#ddd0c1,#362b26,#973021,#a6713a,#848388
tehran,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084790_761293467317080_1040984697_n.jpg,Ludwig,1428077672,51.4423062,35.6979963,1,0,#af8980,#2d2322,#72292b,#f7f0eb,#834c32
paris,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s150x150/e15/924764_467298760091214_405375118_n.jpg,Normal,1428081391,2.332905928,48.828304425,0,0,#e3e5d9,#764b2e,#67a389,#cfb07c,#846a68
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11117127_885960678133488_18765709_n.jpg,Normal,1428081510,-0.133187771,51.512175249,2,0,#2b1b11,#dbae7f,#9b947c,#ac5431,#84847c
tokyo,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11098565_1810366722521743_370056524_n.jpg,Ludwig,1428081889,139.791005627,35.687799159,3,0,#ab783a,#210f06,#f8f2e8,#6c360c,#e6c698
newyork,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111531_804472289632115_222085470_n.jpg,Normal,1428082587,-74.034184977,40.740741753,7,0,#201c24,#ceacaf,#79636b,#8f9eb0,#5c7ab2
berlin,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111501_1594698557472915_1247830939_n.jpg,Valencia,1428081439,13.334755,52.50515,2,0,#311739,#6246c1,#bcb0bc,#452a84,#889edd
