city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,Average_Color
newyork,953919725954281596_485073979,Normal,1427936114,-74.043361,40.720036,2,0,#a46248
tokyo,954013254710418362_209655469,Mayfair,1427947264,139.769316667,35.727946667,1,0,#5c5864
london,954267690128835950_7569288,Normal,1427977595,-0.143362364,51.513672986,0,0,#777072
tokyo,953878119935033625_51084015,Normal,1427931154,139.7529278,35.651368,0,0,#90847b
london,954272730372686499_178338375,Hefe,1427978195,-0.14604747,51.511971663,0,0,#a0827f
tokyo,954287353721865744_206593920,Sierra,1427979939,139.722342873,35.671535544,0,0,#846e68
tokyo,954287261529215891_678702115,Normal,1427979928,139.708250692,35.689946404,1,0,#7b685e
tokyo,954004983047611038_1236805087,Normal,1427946277,139.730026461,35.684501372,0,0,#a67e74
tokyo,954278016990413044_21782911,Normal,1427978826,139.760597,35.652731642,2,0,#b08f5c
tokyo,953987390712513034_816016983,Normal,1427944180,139.784424853,35.683915394,2,0,#698899
london,954266999985606925_174995323,Valencia,1427977512,-0.126509198,51.515878855,0,0,#878169
tokyo,954270146514710154_184399410,Normal,1427977887,139.745116667,35.657121667,0,0,#726962
tokyo,954021913426953332_1786234128,Normal,1427948296,139.749496444,35.695148444,3,0,#808761
tokyo,954041532632681776_13640658,Normal,1427950635,139.7258,35.680575,0,0,#6a5e62
london,954301417710755583_56044934,Aden,1427981615,-0.163558063,51.499519667,0,0,#7e686a
london,953699365987724453_17943498,Normal,1427909845,-0.097197167,51.532795,0,0,#958784
london,954282806674297349_9601379,Normal,1427979397,-0.182791478,51.523729479,13,0,#51709a
london,953742193439236288_922529055,Normal,1427914950,-0.168586308,51.519064126,6,1,#9b7d57
seoul,954310252767173450_318285,Mayfair,1427982668,126.984428333,37.562366667,0,0,#8e7c6b
london,954301893055257387_1706870677,Crema,1427981672,-0.100211422,51.523782819,3,0,#aea183
london,954296553708225351_247667591,Crema,1427981035,-0.162383333,51.500763333,0,0,#8f7653
berlin,954286239463857740_371529694,Amaro,1427979806,13.352753333,52.499575,0,0,#7b7a7d
newyork,954304007546324832_32825496,Normal,1427981924,-74.0348805,40.705945,2,0,#777f88
london,953757517811881290_7935580,Normal,1427916777,-0.174828333,51.49633,0,0,#929292
london,953787949684971086_544575340,Ludwig,1427920405,-0.134005088,51.564809657,0,0,#88532d
berlin,953792777254000461_401950948,Normal,1427920981,13.399786667,52.518258333,0,0,#777571
london,954138471151405629_17910225,Normal,1427962190,-0.138306363,51.51753169,0,0,#777683
newyork,953791494896077549_1151016137,Ludwig,1427920828,-74.023802833,40.76492,1,0,#8d8f98
london,954121694967322099_351360340,Normal,1427960191,-0.171792151,51.499811874,1,0,#a1887f
tokyo,954307756528723637_7099824,Sierra,1427982371,139.763978333,35.711525,0,0,#7e7474
berlin,954326265689315388_2823877,Normal,1427984577,13.397109287,52.525859232,0,0,#76777c
london,954323957058296648_175531717,Normal,1427984302,-0.140522441,51.549672556,0,0,#a98378
tokyo,953830259466343731_18810164,Normal,1427925449,139.745147433,35.687174751,0,0,#93938c
newyork,953823370049759763_627439617,Ludwig,1427924628,-74.043625741,40.727484075,3,0,#9e8168
london,954131592059061336_1137502592,Brannan,1427961370,-0.137382848,51.52568158,1,0,#8f7464
newyork,954108403506218095_1250163328,Normal,1427958606,-74.088602029,40.72128905,0,0,#6e605a
seoul,954358470352122785_489998659,Hudson,1427988416,127.02183497,37.509243688,0,0,#a06141
london,954366117446082650_1663800695,Normal,1427989328,-0.098739741,51.51356061,0,0,#a09993
london,954362888251259786_219735525,Amaro,1427988943,-0.101324004,51.5086978,2,0,#928286
berlin,954364234102822969_11165597,Perpetua,1427989104,13.321836728,52.499552251,1,0,#88877e
berlin,953850861385563271_12736422,Lo-fi,1427927905,13.388953333,52.5157,0,0,#756a64
tokyo,954336234316303857_1218394,Normal,1427985766,139.757251192,35.664731929,1,0,#927d73
tokyo,954369235863933469_256573779,Hudson,1427989700,139.759946895,35.716076911,3,1,#9d8c92
london,954392642320072490_242068838,Normal,1427992490,-0.153833333,51.524333333,5,0,#90948f
london,954351262766471633_26607309,Normal,1427987557,-0.152519718,51.514132547,14,0,#7c6c5d
berlin,954365213037853739_261436822,Normal,1427989220,13.412965147,52.52829832,2,1,#9a807f
tokyo,953872392032093194_325417048,Sierra,1427930471,139.77461787,35.710479501,0,0,#7d605d
london,954388866016632790_197205150,Perpetua,1427992040,-0.172658333,51.497271667,2,0,#86766b
tokyo,954348788855532140_21050953,Hudson,1427987262,139.771705,35.71597,5,0,#9f9592
tokyo,954335013527971249_291740856,Normal,1427985620,139.709991667,35.683838333,4,0,#85888c
berlin,953819205649174740_1809082691,Normal,1427924131,13.328128333,52.524363333,4,0,#91756a
london,954351613168900456_9759149,Normal,1427987599,-0.172430971,51.533688743,0,0,#887c73
london,954368051896331559_462329298,Ludwig,1427989559,-0.132749105,51.514449766,0,0,#8c8783
moscow,954393475098166630_42017896,Normal,1427992589,37.610038333,55.742745,0,0,#776d85
london,954383317728899533_369747,Normal,1427991378,-0.101324004,51.5086978,0,0,#8f8581
london,954398698054301489_17411996,Valencia,1427993212,-0.108203562,51.508308217,3,0,#9a8682
seoul,954415534988250034_292686457,Normal,1427995219,126.987978333,37.551133333,0,0,#a85970
moscow,954395659005852486_41758581,Lo-fi,1427992850,37.616398782,55.74751257,9,0,#927566
rome,954381568380734352_9390225,Hefe,1427991170,12.469875229,41.890391589,0,0,#867968
london,954399867651100542_324645386,Crema,1427993351,-0.113724517,51.522077772,17,1,#837765
london,954413777078918328_9865454,Ludwig,1427995010,-0.126490937,51.512615114,1,0,#84705e
rome,954424391899011563_1308711781,Normal,1427996275,12.476934489,41.896869833,6,0,#7d6d67
berlin,954418188891368599_301075682,Normal,1427995535,13.409991528,52.509394011,0,0,#947f6c
rome,954389434440001872_714022985,Ludwig,1427992108,12.486051642,41.867022353,0,1,#9f897a
london,953906723788145183_1266459079,Normal,1427934564,-0.136113017,51.527762481,0,0,#9b8979
paris,954414980627349031_1756281710,Valencia,1427995153,2.263746667,48.838096667,5,0,#b46f63
tokyo,953887510080068361_595069,Walden,1427932274,139.767186209,35.687532792,0,0,#78787b
paris,954432749094397143_692179440,Ludwig,1427997271,2.292333333,48.859333333,2,0,#695950
moscow,954430387302659466_227370220,Ludwig,1427996990,37.618663333,55.770005,7,1,#918c88
paris,954433125457450675_4194212,Normal,1427997316,2.320917344,48.866102084,5,1,#787270
tokyo,954155337945418234_6339577,Normal,1427964201,139.730968113,35.666942273,0,0,#948f8a
london,954439236101686986_215185592,Mayfair,1427998044,-0.1259945,51.513438333,2,2,#936d53
paris,954445026406445245_186466547,Normal,1427998735,2.297606871,48.851514587,9,0,#7b685a
rome,954416692181726941_667523196,Normal,1427995357,12.51313,41.923333333,1,0,#87616c
london,954427889825263951_7394267,Normal,1427996692,-0.1235917,51.516963644,1,0,#7f6459
paris,954441364024717754_21952171,X-Pro II,1427998298,2.320605084,48.869432399,38,0,#896a6b
paris,954442856250338970_226343450,Willow,1427998476,2.300241667,48.850611667,4,0,#676669
moscow,954456380269682530_1246302,Normal,1428000088,37.616398782,55.74751257,2,0,#a17053
london,954446494800037648_216852832,Amaro,1427998910,-0.177276833,51.50216403,2,0,#7c6271
seoul,954166640223406882_1460195721,Normal,1427965549,126.981963333,37.580191667,0,0,#817c6e
tokyo,954184184100358589_5571601,Normal,1427967640,139.775339295,35.698309918,0,0,#917b5a
london,954222042233531459_10902906,Rise,1427972153,-0.139463833,51.501533333,2,0,#aa9585
tokyo,954227846946650585_1578445669,Normal,1427972845,139.766303682,35.73156568,4,0,#84686e
newyork,953980555576356289_49749234,Normal,1427943365,-74.0960098,40.7066424,0,0,#8c8c8c
tokyo,954026521269040399_259070700,Normal,1427948845,139.72018387,35.66863122,0,0,#8c838b
london,954200093073405670_182234668,Ludwig,1427969536,-0.124260069,51.531540862,0,0,#91796a
seoul,954191561241977499_1705055,Rise,1427968519,126.98565754,37.573509961,0,0,#755d4e
seoul,954257549031021168_878983749,Mayfair,1427976386,126.981451958,37.570755673,0,0,#93694b
london,954259882252990353_1385196564,Normal,1427976664,-0.183345251,51.5133918,3,0,#6c777f
tokyo,954035983705704549_11758585,Normal,1427949973,139.759215186,35.668447918,14,0,#8ea4a5
seoul,954258823429624357_17919995,Ludwig,1427976538,127.0294711,37.5872049,0,0,#a27e63
seoul,954117038564459981_239949624,Amaro,1427959636,127.00075971,37.557997559,0,0,#5d5c78
london,954121048755414164_201944744,Normal,1427960114,-0.172316667,51.4971,17,0,#908d95
london,954137557701133692_1096752208,Amaro,1427962082,-0.154875,51.487325,0,0,#929589
london,954139956719626941_1716874585,Normal,1427962368,-0.117413363,51.50419952,1,1,#8b6a64
newyork,954284278430494673_330716466,Normal,1427979572,-74.072762,40.7304481,0,0,#88919e
seoul,954306150680857359_8069961,Valencia,1427982179,127.035911167,37.522278333,12,1,#918082
tokyo,954317897372990167_202913517,Ludwig,1427983580,139.792757822,35.695241339,0,0,#90736c
moscow,954462457366679788_210089707,Lo-fi,1428000813,37.596083333,55.768283333,8,1,#665e53
london,954314303899674499_347135232,Valencia,1427983151,-0.099589006,51.535030419,0,0,#a29370
berlin,954100863260029397_1504505123,Normal,1427957707,13.34508,52.522891667,0,0,#868589
london,954456737935690674_1461587209,Lo-fi,1428000131,-0.095891667,51.51397,0,0,#858481
seoul,954299224265623849_231429641,Inkwell,1427981354,126.971564535,37.577216425,2,2,#878787
london,954167528779877794_28437242,Normal,1427965654,-0.138440706,51.475959152,3,1,#8c7260
london,954156542194350933_1331231789,Normal,1427964345,-0.14033386,51.517519259,0,0,#7c7f71
berlin,954305006337086952_372351620,Normal,1427982043,13.4071,52.504763333,21,0,#a1797b
tokyo,954457255428716581_7697013,Ludwig,1428000193,139.778060301,35.698395429,0,0,#836556
moscow,954469227015356341_342669782,Mayfair,1428001620,37.667166667,55.753288333,1,0,#8e7964
paris,954448273343100079_279326644,Crema,1427999122,2.334295,48.862991667,2,0,#787163
moscow,954472725246796750_628487199,Normal,1428002037,37.656674145,55.76140312,2,0,#8a727c
moscow,954485613201520969_762791597,Crema,1428003573,37.6339,55.736836667,0,0,#7d6159
london,954494593500703161_212587297,Amaro,1428004644,-0.185413264,51.510575413,0,0,#736b63
berlin,954492838152851975_221814179,Sierra,1428004434,13.338199052,52.505509856,17,0,#70524e
seoul,954317712410469846_14826464,Normal,1427983558,127.02014817,37.57145468,3,0,#8b6453
moscow,954472228414028266_193621533,Lo-fi,1428001977,37.655567209,55.775752289,0,0,#a29687
berlin,954473134932403127_1446964903,Normal,1428002085,13.386939458,52.489451732,1,0,#606066
tokyo,954180763762777667_384606494,Normal,1427967232,139.744458388,35.667481772,0,0,#726e85
rome,954483131174224186_35163967,Normal,1428003277,12.6833,41.8,2,0,#978b75
london,954183169626605072_40174096,Normal,1427967519,-0.138254111,51.534751422,0,0,#96875a
berlin,954173215478436470_1761614659,Normal,1427966332,13.359360583,52.498885011,2,0,#545454
london,954178214927122254_1228087414,Normal,1427966928,-0.099825,51.514721667,1,0,#66666e
tokyo,954211740746383828_663199,Lo-fi,1427970925,139.741425,35.66682,1,0,#75686b
seoul,954226031376692432_1468972268,Slumber,1427972628,127.003963806,37.541587566,1,0,#887d69
tokyo,954185007844886987_5571601,Normal,1427967738,139.775267855,35.698452639,1,0,#95745c
paris,954500783648114589_4212912,Normal,1428005382,2.288811667,48.83287,0,0,#8a6751
london,954186432476541831_22679283,Slumber,1427967908,-0.157236189,51.521555166,7,0,#999488
london,954165107913753384_178949447,Normal,1427965366,-0.117033333,51.50895,0,0,#544e48
london,954505549073124553_27862338,Normal,1428005950,-0.101324004,51.5086978,2,1,#7f7e7a
tokyo,954222923907193845_31235373,Ludwig,1427972258,139.728048253,35.6710065,1,0,#9c7a5e
newyork,954504991726167750_996902872,Ludwig,1428005883,-74.03856011,40.736364347,0,0,#978373
rome,954514374936638960_174841676,Amaro,1428007002,12.5377488,41.911033304,1,0,#765e6f
london,954323683303230174_1478685513,Valencia,1427984269,-0.138061167,51.511796667,1,0,#92756a
berlin,954342469607342855_190190239,Normal,1427986509,13.379905975,52.514093863,2,0,#726f6b
berlin,954325375674166974_104848274,Normal,1427984471,13.3450513,52.4815127,12,0,#938979
paris,954376225587177030_7078304,Normal,1427990533,2.334376506,48.861800657,1,0,#8d7858
paris,954382265214254296_1556350462,Normal,1427991253,2.331715274,48.875800198,2,0,#816d6f
seoul,954404736184107666_736028343,Normal,1427993932,127.022506138,37.519248943,0,0,#767471
london,954332979746270546_227253546,Normal,1427985378,-0.133370245,51.516904444,8,0,#6a4b2d
berlin,954504505666655379_394074436,Normal,1428005825,13.383288,52.542247,1,0,#848885
london,954375369051598962_309198323,Crema,1427990431,-0.119927265,51.528751259,1,1,#9ca2a1
paris,954389870103370176_1453973,Normal,1427992160,2.342871667,48.85495,0,0,#7c706d
tokyo,954328677311398747_1247896871,Sierra,1427984865,139.747221667,35.658178333,0,0,#816b65
seoul,954328485253734225_11156398,Normal,1427984842,126.967705,37.559233333,1,0,#7c6e6b
berlin,954392543759243377_1239630837,Normal,1427992478,13.340623026,52.501857889,0,0,#9a8c85
london,954382387792380866_874159,Normal,1427991268,-0.106702097,51.508567038,4,0,#787b7f
tehran,954530927320310628_1140560839,Normal,1428008975,51.405832926,35.673692673,0,0,#948992
berlin,954516468758475171_26721787,Ludwig,1428007251,13.410277778,52.528333333,0,0,#5e615c
rome,954397968162931928_1631873376,Mayfair,1427993125,12.48255,41.894705,2,0,#787e89
rome,954514714707380027_1689335272,Normal,1428007042,12.4932147,41.9066884,0,0,#6b7c78
paris,954515632391919381_1474934548,Normal,1428007152,2.298117144,48.859025596,1,0,#84715a
moscow,954531992823992871_296540323,Normal,1428009102,37.624245,55.759736667,2,0,#94716a
moscow,954381357952820997_618960536,X-Pro II,1427991145,37.658098118,55.762589718,1,0,#866c5d
