id,geometry,POSTCODE,vvd,d66,gl,sp,cu,cda,pvda,pvv,sgp,50p,Total,Scaled,index1,Region
0,"POLYGON ((121535.8952555233 486852.178569642, 121519.2095277685 486857.6915579777, 121482.2451902454 486823.6972625589, 121440.3848991371 486830.9027659039, 121351.5477786781 486953.6764578021, 121329.9294724668 487026.5598408145, 121373.2170196035 487371.6707287432, 121363.3706741115 487385.5322761292, 121366.7807106209 487432.5078213833, 121380.8620305489 487485.5341647431, 121612.8237045915 487764.5838399481, 121646.1580775936 487739.6111799541, 121805.841484081 487926.4144287771, 121961.730878297 487936.9769466801, 122035.8803479443 487912.4996793308, 122064.8692695961 487876.470685161, 122046.2772755303 487836.7558682061, 122016.4637052492 487817.9984208017, 121931.9200235227 487590.8760520742, 121909.9728350861 487524.0430226025, 121897.3766564875 487476.3523180609, 121917.8942717118 487470.1917626053, 121875.8699711386 487355.5029479587, 121837.1450143557 487369.6392909953, 121757.9362223587 487236.1929686666, 121535.8952555233 486852.178569642))",1012,9.0,1.0,4.0,1.0,1.5,5.0,25.0,2.5,2.0,0.0,51.0,0.441176470588,0,4
1,"POLYGON ((121440.3742828763 488110.6280709644, 121543.1811074373 488234.0084046942, 121562.7082813266 488266.1323377615, 121651.4883392565 488391.162750483, 121770.1370779374 488522.4641445729, 121922.5623619875 488373.5629043564, 121972.9488970765 488344.8499447557, 122118.8828050147 488264.046649878, 122247.7642643114 488221.5277119758, 122163.1652015167 488039.5106401588, 122064.8692695961 487876.470685161, 122035.8803479443 487912.4996793308, 121961.730878297 487936.9769466801, 121805.841484081 487926.4144287771, 121646.1580775936 487739.6111799541, 121612.8237045915 487764.5838399481, 121380.8620305489 487485.5341647431, 121366.7807106209 487432.5078213833, 121363.3706741115 487385.5322761292, 121373.2170196035 487371.6707287432, 121329.9294724668 487026.5598408145, 121351.5477786781 486953.6764578021, 121440.3848991371 486830.9027659039, 121482.2451902454 486823.6972625589, 121519.2095277685 486857.6915579777, 121535.8952555233 486852.178569642, 121563.1601407896 486843.1702125197, 121552.3241990552 486793.4442834942, 121557.7154034178 486729.4718141792, 121554.3051099966 486713.4649062536, 121556.01082914 486652.4627556234, 121374.2127696892 486693.4410791395, 121168.1566120627 486742.4501472265, 121083.3355556089 486797.4559127776, 121141.422561136 486828.0399806433, 121064.3571476825 486922.3754289726, 121017.5457076453 486993.4983988644, 121056.0473901717 487370.7330204354, 121128.4341651434 487644.5557741808, 121260.2840767293 487833.3390272315, 121316.7204772204 487911.9987283396, 121440.3742828763 488110.6280709644))",1012,9.0,1.0,4.0,1.0,1.5,5.0,25.0,2.5,2.0,0.0,51.0,0.441176470588,1,1
3,"POLYGON ((121563.1601407896 486843.1702125197, 121714.8142250778 486827.2745880532, 121752.7139997935 486822.6543559193, 121856.1273208981 486774.7445762458, 121901.6184407876 486722.3237922134, 121922.9616783806 486653.5658915725, 122023.9019816128 486329.4136476482, 121973.7358468714 486313.1863307569, 121573.5067983377 486196.4043360549, 121022.9969730606 486320.2743746223, 121010.0152873067 486327.9201662677, 120785.4201192495 486581.1130635257, 121024.1484326768 486764.4515516501, 121083.3355556089 486797.4559127776, 121168.1566120627 486742.4501472265, 121374.2127696892 486693.4410791395, 121556.01082914 486652.4627556234, 121554.3051099966 486713.4649062536, 121557.7154034178 486729.4718141792, 121552.3241990552 486793.4442834942, 121563.1601407896 486843.1702125197))",1017,0.5,0.5,1.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,4.0,0.3125,3,4
4,"POLYGON ((122247.7642643114 488221.5277119758, 122599.814172781 488232.1448441004, 122653.9091124355 487848.8362665164, 122675.6782455432 487678.5284418454, 122680.7782073365 487639.4118893247, 122730.7294230472 487642.6436782859, 122743.7663707524 487604.2492756363, 122764.3396083861 487523.8850053183, 122772.866146162 487466.9533884884, 122770.8313604161 487410.4617367974, 122758.1808693822 487279.0511988043, 122594.6468200503 487111.7202054604, 122512.6322416454 487030.8050298483, 122293.2118003217 486792.0751930859, 122254.2121929149 486759.9511005674, 121922.9616783806 486653.5658915725, 121901.6184407876 486722.3237922134, 121856.1273208981 486774.7445762458, 121752.7139997935 486822.6543559193, 121714.8142250778 486827.2745880532, 121563.1601407896 486843.1702125197, 121535.8952555233 486852.178569642, 121757.9362223587 487236.1929686666, 121837.1450143557 487369.6392909953, 121875.8699711386 487355.5029479587, 121917.8942717118 487470.1917626053, 121897.3766564875 487476.3523180609, 121909.9728350861 487524.0430226025, 121931.9200235227 487590.8760520742, 122016.4637052492 487817.9984208017, 122046.2772755303 487836.7558682061, 122064.8692695961 487876.470685161, 122163.1652015167 488039.5106401588, 122247.7642643114 488221.5277119758))",1011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4,1
5,"POLYGON ((120682.2084044834 488849.468640486, 120714.9917536068 488939.6244983447, 120813.4521063454 489174.9429445139, 120886.6664317845 489153.7660568669, 121258.0726013475 489183.4175821794, 121351.6942987425 489183.7483880327, 121563.8004744608 489223.7398230819, 121657.4271263111 488626.8654835608, 121770.1370779374 488522.4641445729, 121651.4883392565 488391.162750483, 121562.7082813266 488266.1323377615, 121543.1811074373 488234.0084046942, 121440.3742828763 488110.6280709644, 121184.0414695955 488204.5219991981, 121062.6955190366 488299.2421303928, 121032.7165566839 488325.259940712, 120696.0717860918 488650.6754047047, 120673.7937879609 488676.4732523192, 120624.6723096627 488717.3976567622, 120682.2084044834 488849.468640486))",1013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,5,0
7,"POLYGON ((120785.4201192495 486581.1130635257, 121010.0152873067 486327.9201662677, 121022.9969730606 486320.2743746223, 121573.5067983377 486196.4043360549, 121973.7358468714 486313.1863307569, 122023.9019816128 486329.4136476482, 122070.1639975891 486180.5665450521, 122153.9966148512 485922.4769202707, 122103.7754946852 485903.6642993117, 121750.2472678394 485788.6428940583, 121714.2177761472 485787.3224438052, 121573.6200973909 485800.3578229197, 121214.0949149027 485830.7734499523, 121109.2513945994 485881.1585086517, 120976.7384824824 486044.1415649142, 120896.2628276774 486116.1993686712, 120850.5517994007 486154.2634647604, 120751.4838124189 486227.3662390179, 120641.6900019625 486238.1466059167, 120616.881803564 486249.9727916857, 120598.4543574033 486267.2446692942, 120563.7990364002 486386.6084043612, 120457.4700963671 486465.2117653061, 120441.0778885792 486484.408885713, 120435.3019997655 486504.5412028977, 120428.8656122871 486574.8394065404, 120538.3838229931 486632.2120417393, 120664.8440149971 486705.9767409652, 120785.4201192495 486581.1130635257))",1017,0.5,0.5,1.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,4.0,0.3125,7,5
10,"POLYGON ((110953.7298212616 494006.8198703852, 110966.3314193463 494004.0196443542, 111696.1297040299 493840.5920372339, 111701.4246515154 493839.4063115161, 111767.7330568939 493825.1051732476, 112688.3497607103 493625.9893049145, 112810.8652916755 493599.487192883, 112853.1706566838 493590.0864342926, 112878.1728315665 493704.5000788068, 113036.4929035122 493669.9973196001, 113085.3991042344 493659.2964622557, 113212.4152076194 493631.5942461456, 113949.7656618892 493465.8562042168, 113958.1097897925 493463.9806518134, 114019.5175752807 493450.579579597, 114107.528733593 493431.3780434949, 114291.1520159 493391.0748102898, 114327.8566701941 493382.9741587959, 114546.8844401659 493335.0703223302, 114758.8113028055 493289.5667098805, 114972.0383378964 493242.8629672026, 115210.1685308491 493190.6587821682, 115391.1914782486 493151.5556692021, 115535.4097580235 493120.6532186251, 115558.2126517461 493115.3527824873, 115760.4498157093 493070.9360789427, 115773.1399034862 493068.1489954237, 115939.8610444749 493031.3460359372, 116024.371760367 493012.7445421292, 116124.1844159712 492990.842785843, 116150.8878021295 492984.9423111553, 116341.2119360102 492942.9389340373, 116459.4269270936 492916.7368232226, 116567.8406725426 492893.0349259556, 116684.6554836649 492867.4328742479, 116733.4616710781 492856.8320283006, 116758.1647956412 492852.3317017731, 116800.4701448995 492844.8311668333, 116833.7743551526 492839.0307579667, 116842.4754550016 492837.5306529493, 116855.4770989408 492835.2304891247, 116863.7781496244 492833.6303690866, 116874.6321052496 492831.5351187593, 116889.6814283238 492828.6299936492, 116908.1837729795 492824.7296868755, 116929.286447585 492820.2293308888, 116984.1934024087 492809.0284644105, 117024.0984575067 492800.8278276165, 117046.0012379133 492795.6273959532, 117089.4067495614 492785.1265176053, 117118.610462304 492777.525863735, 117156.8153198625 492767.5250015743, 117236.1254065767 492746.4231717697, 117239.5258381774 492745.6231056133, 117310.5348567775 492728.2216425716, 117379.3435862931 492712.5203612582, 117447.9522858318 492697.4191488071, 117549.7651955782 492675.0173505181, 117971.7388732143 492585.6052312648, 118043.9278214086 492570.3090951148, 118158.3423209577 492546.1071886806, 118223.5506005207 492530.4058780456, 118233.2518319995 492528.1056872563, 118249.253865846 492524.0053365837, 118286.7586292767 492514.8045627904, 118318.6626803214 492507.1039193695, 118344.465958146 492500.7033787404, 118392.6720996232 492486.6021169007, 118424.3761381198 492477.4012956377, 118451.0795425436 492469.3005626564, 118531.1897632845 492444.0982580007, 118576.8956105491 492427.7967172674, 118584.9966412163 492425.5965251321, 118850.1303915407 492351.3899788691, 118882.4345058608 492342.0891508045, 118891.2356256802 492339.6889409201, 118896.536225876 492347.1898654301, 118914.2382207357 492373.3930883866, 118939.6153697533 492410.7816509188, 119463.1737823103 492137.249843973, 119544.199298996 492090.1649765644, 120936.2161378314 490538.3890995949, 120803.2657747911 490387.4502810043, 120413.0502739797 489993.8208488639, 120238.4046345376 489850.8026196495, 120232.4088354881 489856.7982747883, 120008.2005276943 489891.5055152772, 119956.1091231231 489878.7985961436, 119952.8631119003 489951.7921433221, 119930.3652003446 489963.8383740282, 119648.2917177617 489750.6310210577, 119532.7226700445 489702.9944794344, 119474.9107048227 489671.6953297253, 119360.4403076294 489803.2698470015, 119180.8968082175 489931.213405097, 118964.279424484 489968.891057233, 118332.1954381027 489968.1157919943, 118057.1613098456 489938.7950969407, 117892.1403706152 489976.9132236923, 117757.1529063193 490048.585537541, 117671.8918677278 490094.7902669661, 117638.2825762377 490105.7912841008, 117590.5923712005 490014.810207288, 117515.9480313664 490016.1847579232, 117510.1181868516 489909.6371952822, 117020.6669783344 489914.5837714539, 115746.3227366232 489912.8131392987, 115448.3504576687 489917.7612836814, 115402.7489832941 490011.2168878826, 115385.201531562 490042.405407737, 115323.4276275631 490185.091662299, 115282.9964259185 490323.5425939967, 115260.0025682124 490442.1363359232, 115183.9827178194 490484.3256698442, 115148.8881028601 490511.9386262861, 115109.5030042078 490533.2258046208, 115058.5114952597 490549.6723194784, 114979.686594674 490555.6673791258, 114892.335881956 490531.133783193, 114808.2307935045 490480.2521189787, 112970.0109549581 490494.0987202097, 112261.4111432986 490645.63573002, 112189.5289051497 490146.3183969433, 112189.5162749583 490149.6768880605, 112188.9161202701 490159.2780108838, 112186.3157247424 490167.7789881441, 112181.5150517561 490176.5799826724, 112176.7144003542 490182.7806717704, 112171.1136522848 490188.5813073503, 112161.3123859174 490193.58181463, 112143.7101380211 490199.3823521545, 112102.9049580832 490209.0831582449, 112064.5000872426 490217.6838547362, 112065.0001306412 490219.9841290069, 112066.7002800225 490227.585035676, 112024.0948817521 490236.4857330966, 111993.6910257394 490243.2862835119, 111824.1695302045 490280.6892920416, 111690.7526105733 490310.3916910572, 111553.0351460349 490340.9941607057, 111406.2165341688 490372.7966970335, 111393.6149377671 490375.3968995252, 111284.9011534338 490399.298819123, 110924.4554511785 490478.5051789781, 110504.1021552207 490570.6125653442, 110231.5675944514 490631.1174470112, 110227.2670495429 490632.0175176213, 110212.3651565441 490635.7178305843, 110217.6656520783 490655.8202350737, 110221.46597591 490674.0224041047, 110225.2663014022 490692.0245496442, 110229.0666260644 490710.1267069361, 110233.166989052 490728.1288549234, 110237.0673295336 490745.8309660474, 110241.0676825138 490763.5330779847, 110245.0680321727 490781.6352369128, 110249.0683868132 490799.1373253522, 110252.8687206083 490816.1393534296, 110256.8690735884 490833.8414653745, 110260.6694015713 490851.5435756857, 110264.6697545511 490869.2456876278, 110268.570093372 490887.1478222516, 110273.6705365093 490910.5506127797, 110278.7709829678 490933.5533563202, 110283.871429426 490956.556099861, 110288.9718858478 490978.3587024391, 110293.4722739209 490999.3612061426, 110300.7729023542 491033.5652833656, 110305.0732645997 491054.6677971813, 110309.8737491188 491068.5694692768, 110310.8738392319 491072.7699708351, 110342.7766264922 491217.2872063919, 110366.57871273 491324.2999705729, 110374.7793797533 491367.4051007135, 110384.6802443064 491412.3104562101, 110392.0809026737 491444.4142876064, 110399.9815977943 491479.6184872617, 110433.5845153267 491634.03689995, 110456.7865190974 491741.9497651185, 110472.1878601733 491812.2581495021, 110474.6880763223 491823.859532652, 110477.5883308412 491836.8610835343, 110480.1885702827 491847.1623147854, 110510.4912198317 491984.1786566251, 110550.494695648 492167.7005404833, 110560.5955702502 492214.4061092019, 110563.4958206173 492227.9077188424, 110564.4959132211 492231.8081851733, 110588.6980054397 492344.1215756655, 110613.8001927081 492458.5352202585, 110629.4015396808 492531.1438766709, 110636.2021155811 492564.1478090328, 110638.7023358811 492575.2491334734, 110641.6025870782 492588.6507313839, 110646.2030092357 492607.0529305788, 110647.2031068213 492610.3533264342, 110648.5032311085 492614.9538774548, 110649.6033387019 492618.5543093694, 110652.3036014357 492627.5553887419, 110669.1050402684 492707.1648773563, 110681.4060968426 492765.0717799182, 110693.7071650411 492821.5785180219, 110703.2079845773 492865.8838000031, 110713.9089275265 492913.3894677336, 110725.4099322698 492965.4956824194, 110737.5109854341 493020.8022779526, 110742.4114035707 493044.2050670337, 110743.9115304364 493051.5059369, 110746.2117249083 493062.7072714772, 110797.1161595232 493294.8349547436, 110819.2180905625 493394.9468952462, 110832.1191947249 493456.154190552, 110841.4200141718 493497.4591185583, 110842.6201193176 493502.8597627648, 110845.6203855037 493515.9613262992, 110861.9217950515 493591.5703411698, 110873.3227947668 493642.7764494299, 110883.6236993437 493688.8819495532, 110885.6238845506 493696.6828822619, 110895.3247199478 493742.0882952609, 110897.4248977253 493752.2895107487, 110898.1249594754 493755.3898806611, 110901.925284964 493773.3920264139, 110902.8253575956 493778.1925976841, 110908.3258440803 493802.3954857262, 110916.5265634063 493839.1998761207, 110922.1270549165 493864.3028707163, 110923.7271959414 493871.4037179257, 110953.7298212616 494006.8198703852))",1013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,10,0
11,"POLYGON ((112189.5289051497 490146.3183969433, 112261.4111432986 490645.63573002, 112970.0109549581 490494.0987202097, 114808.2307935045 490480.2521189787, 114892.335881956 490531.133783193, 114979.686594674 490555.6673791258, 115058.5114952597 490549.6723194784, 115109.5030042078 490533.2258046208, 115148.8881028601 490511.9386262861, 115183.9827178194 490484.3256698442, 115260.0025682124 490442.1363359232, 115282.9964259185 490323.5425939967, 115323.4276275631 490185.091662299, 115385.201531562 490042.405407737, 115402.7489832941 490011.2168878826, 115448.3504576687 489917.7612836814, 115746.3227366232 489912.8131392987, 117020.6669783344 489914.5837714539, 117510.1181868516 489909.6371952822, 117515.9480313664 490016.1847579232, 117590.5923712005 490014.810207288, 117638.2825762377 490105.7912841008, 117671.8918677278 490094.7902669661, 117757.1529063193 490048.585537541, 117892.1403706152 489976.9132236923, 118057.1613098456 489938.7950969407, 118332.1954381027 489968.1157919943, 118964.279424484 489968.891057233, 118959.825313604 489794.6305523376, 118961.477109536 489603.0430623386, 119021.2703203922 489514.0430981227, 119046.7936104835 489501.9418856946, 119087.6086646692 489507.552878895, 119087.3908858999 489236.5360442658, 118108.6535336509 489241.0935680752, 118107.7734168158 489241.918657782, 118118.4481745557 488829.2602761117, 118087.5343112116 488829.2600230802, 117719.5384003684 488819.8509063897, 117409.0796709242 488811.5423901094, 117199.7785572599 488806.3700700763, 117196.9170846918 488940.7508303219, 117200.3821617387 488983.6558980951, 117200.3812351406 489095.3190135142, 117024.6891422518 489111.7645076705, 116563.2364466847 489115.0611198018, 116332.537577714 489119.6797751741, 116332.756102945 489300.7060395246, 115962.669836526 489302.6832447301, 115945.2875642917 489314.729517475, 115174.9162781729 489316.2083912914, 112980.1968969257 489329.0619615959, 112927.9411366634 489236.265635228, 112764.7907446101 489236.6493472461, 112740.8081172834 489192.0939180531, 112210.8609754285 489195.0425267534, 112208.5263843195 489217.8675966922, 112202.4251263098 489277.5745597053, 112200.1246595311 489299.1770782326, 112192.2230337593 489376.086047014, 112193.522807727 489422.8915551808, 112193.8227530752 489433.9928615401, 112196.4222644813 489532.0043947488, 112196.4217091035 489598.9122534497, 112196.1212963744 489644.1175606235, 112196.22114118 489664.3199343311, 112196.1209452152 489686.4225295971, 112196.3207460679 489713.4257029179, 112196.3204264539 489751.9302255086, 112196.2548058175 489758.7051620557, 112196.0201316067 489782.9338646315, 112196.3196876049 489840.9406803572, 112196.4196585949 489845.9412685281, 112196.8194711608 489874.5446314454, 112196.3192011255 489899.5475641288, 112195.818863016 489932.7514600646, 112193.7181970828 489981.3571519891, 112192.2176078005 490029.7628253197, 112190.6171363565 490062.4666535533, 112189.71674244 490096.3706284676, 112189.5289051497 490146.3183969433))",1043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,11,2
12,"POLYGON ((119532.7226700445 489702.9944794344, 119648.2917177617 489750.6310210577, 119930.3652003446 489963.8383740282, 119952.8631119003 489951.7921433221, 119956.1091231231 489878.7985961436, 120008.2005276943 489891.5055152772, 120232.4088354881 489856.7982747883, 120238.4046345376 489850.8026196495, 120413.0502739797 489993.8208488639, 120803.2657747911 490387.4502810043, 121093.3193234479 490110.2200934457, 121252.2359861257 489892.9458743545, 121371.9873252483 489727.3774078924, 121563.8004744608 489223.7398230819, 121351.6942987425 489183.7483880327, 121258.0726013475 489183.4175821794, 121252.4616199651 489217.1915031982, 121299.712337923 489239.7445393154, 121267.58726685 489367.0842331283, 120897.5553892458 489443.485175706, 120875.3329652371 489400.9099928836, 120847.3893334241 489417.7417410059, 120831.6021861564 489438.7540797473, 120366.0231551801 489540.7872508921, 120350.9510475295 489567.7952997665, 120321.5220630716 489604.7594004746, 120296.2185430728 489647.8842586039, 120260.2437957887 489678.1925239374, 119670.8448246813 489715.8671224203, 119553.350565116 489664.7651579878, 119532.7226700445 489702.9944794344))",1013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,12,0
13,"POLYGON ((118964.279424484 489968.891057233, 119180.8968082175 489931.213405097, 119360.4403076294 489803.2698470015, 119474.9107048227 489671.6953297253, 119532.7226700445 489702.9944794344, 119553.350565116 489664.7651579878, 119670.8448246813 489715.8671224203, 120260.2437957887 489678.1925239374, 120296.2185430728 489647.8842586039, 120321.5220630716 489604.7594004746, 120350.9510475295 489567.7952997665, 120366.0231551801 489540.7872508921, 120831.6021861564 489438.7540797473, 120847.3893334241 489417.7417410059, 120875.3329652371 489400.9099928836, 120897.5553892458 489443.485175706, 121267.58726685 489367.0842331283, 121299.712337923 489239.7445393154, 121252.4616199651 489217.1915031982, 121258.0726013475 489183.4175821794, 120886.6664317845 489153.7660568669, 120813.4521063454 489174.9429445139, 120714.9917536068 488939.6244983447, 120682.2084044834 488849.468640486, 120584.9558677913 488895.6182644573, 120154.5272163462 488878.7277553532, 119927.1838349295 488875.0954669651, 119914.312230448 488874.6003034016, 119778.0052415466 488869.0985410195, 119604.4035800062 488865.0266412586, 119449.4492452137 488861.394945949, 119449.2287225308 488921.0769541231, 119413.6393054346 488917.3912298246, 119399.0071300105 488959.196020233, 119350.2144551935 489149.2979493626, 119477.3903221254 489152.4893654819, 119481.4601393839 489235.8241870226, 119087.3908858999 489236.5360442658, 119087.6086646692 489507.552878895, 119046.7936104835 489501.9418856946, 119021.2703203922 489514.0430981227, 118961.477109536 489603.0430623386, 118959.825313604 489794.6305523376, 118964.279424484 489968.891057233))",1013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,13,0
