id,tag,lat,long,region,label
78,pvv,52.34123,4.88991,0,0.00E+00
79,cda,52.45302702,4.96589839,0,0.00E+00
80,gl,52.3731,4.8932,0,0.00E+00
81,sgp,52.3731,4.8922,0,0.00E+00
82,pvda,52.3731,4.8932,0,0.00E+00
83,pvda,52.3731,4.8932,0,0.00E+00
84,pvda,52.3731,4.8932,0,0.00E+00
85,pvda,52.3731,4.8932,0,0.00E+00
86,pvda,52.3731,4.8932,0,0.00E+00
87,pvda,52.3731,4.8932,0,0.00E+00
88,pvda,52.3731,4.8932,0,0.00E+00
89,pvda,52.3731,4.8932,0,0.00E+00
90,pvda,52.3731,4.8932,0,0.00E+00
91,pvda,52.3731,4.8932,0,0.00E+00
92,pvda,52.3731,4.8932,0,0.00E+00
93,pvda,52.3731,4.8932,0,0.00E+00
94,pvda,52.3731,4.8932,0,0.00E+00
95,pvda,52.3731,4.8932,0,0.00E+00
96,pvda,52.3731,4.8932,0,0.00E+00
97,pvda,52.3731,4.8932,0,0.00E+00
98,pvda,52.3731,4.8932,0,0.00E+00
99,pvda,52.3731,4.8932,0,0.00E+00
100,pvda,52.3731,4.8932,0,0.00E+00
101,pvda,52.3731,4.8932,0,0.00E+00
102,pvda,52.3731,4.8932,0,0.00E+00
103,pvda,52.3731,4.8932,0,0.00E+00
104,pvda,52.3731,4.8932,0,0.00E+00
105,gl,52.3731,4.8932,0,0.00E+00
106,pvda,52.3731,4.8932,0,0.00E+00
107,pvda,52.3731,4.8932,0,0.00E+00
108,pvda,52.3731,4.8932,0,0.00E+00
109,gl,52.3731,4.8932,0,0.00E+00
110,pvda,52.3731,4.8932,0,0.00E+00
111,pvda,52.3731,4.8932,0,0.00E+00
112,gl,52.3731,4.8932,0,0.00E+00
113,gl,52.3731,4.8932,0,0.00E+00
114,pvda,52.3731,4.8932,0,0.00E+00
115,pvda,52.3731,4.8932,0,0.00E+00
116,pvda,52.3731,4.8932,0,0.00E+00
117,pvda,52.3731,4.8932,0,0.00E+00
118,pvda,52.3731,4.8932,0,0.00E+00
119,pvda,52.3731,4.8932,0,0.00E+00
120,pvda,52.3731,4.8932,0,0.00E+00
121,cda,52.3731,4.8932,0,0.00E+00
122,vvd,52.3731,4.8932,0,0.00E+00
123,pvv,52.3731,4.8932,0,0.00E+00
124,vvd,52.3731,4.8932,0,0.00E+00
125,gl,52.3731,4.8932,0,0.00E+00
126,gl,52.3731,4.8932,2,6.00E+00
127,gl,52.3731,4.8932,2,6.00E+00
128,pvda,52.36171324,4.90066954,0,0.00E+00
129,cda,52.38421,4.90288,0,0.00E+00
130,pvda,52.3731,4.8932,0,0.00E+00
131,pvda,52.3731,4.8932,0,0.00E+00
132,pvda,52.3731,4.8932,0,0.00E+00
133,pvda,52.3731,4.8932,0,0.00E+00
134,pvda,52.3731,4.8932,0,0.00E+00
135,pvda,52.3731,4.8932,0,0.00E+00
136,pvda,52.3731,4.8932,0,0.00E+00
137,pvda,52.3731,4.8932,0,0.00E+00
138,pvda,52.3731,4.8932,0,0.00E+00
139,pvda,52.3731,4.8932,0,0.00E+00
140,pvda,52.3731,4.8932,0,0.00E+00
141,pvda,52.3731,4.8932,0,0.00E+00
142,pvda,52.3731,4.8932,0,0.00E+00
143,pvda,52.3731,4.8932,0,0.00E+00
144,pvda,52.3731,4.8932,0,0.00E+00
145,d66,52.3731,4.8922,1,0.00E+00
146,pvv,52.3731,4.8922,1,6.00E+00
147,d66,52.36993215,4.89030348,4,3.00E+00
148,vvd,52.3731,4.8932,4,2.00E+00
149,vvd,52.3731,4.8932,4,2.00E+00
150,vvd,52.3731,4.8932,4,2.00E+00
151,vvd,52.3731,4.8932,4,2.00E+00
152,vvd,52.3731,4.8932,4,2.00E+00
153,vvd,52.3731,4.8932,4,2.00E+00
154,vvd,52.3731,4.8932,4,2.00E+00
155,vvd,52.3731,4.8932,4,2.00E+00
156,vvd,52.3731,4.8932,4,2.00E+00
157,vvd,52.3731,4.8932,4,2.00E+00
158,vvd,52.3731,4.8932,4,2.00E+00
159,vvd,52.3731,4.8932,4,2.00E+00
160,vvd,52.3731,4.8932,4,2.00E+00
161,vvd,52.3731,4.8932,4,2.00E+00
162,pvv,52.3731,4.8932,6,1.00E+00
163,pvv,52.3731,4.8932,2,3.00E+00
164,vvd,52.45358074,4.96708342,6,2.00E+00
165,cda,52.37807,4.90118,6,3.00E+00
166,gl,52.45341285,4.96658214,6,1.00E+00
167,cda,52.3731,4.8932,6,3.00E+00
168,cda,52.3731,4.8932,6,3.00E+00
169,cda,52.3731,4.8932,6,3.00E+00
170,cda,52.3731,4.8932,6,3.00E+00
171,cda,52.3731,4.8932,6,3.00E+00
172,cda,52.3731,4.8932,0,0.00E+00
173,cda,52.3731,4.8932,1,0.00E+00
174,cda,52.3731,4.8922,1,0.00E+00
175,cda,52.36412531,4.88316855,1,0.00E+00
176,vvd,52.35870564,4.80744988,0,0.00E+00
177,vvd,52.3914301,4.7797067,6,2.00E+00
178,sp,52.3731,4.8922,6,2.00E+00
179,vvd,52.47517364,4.99070671,6,2.00E+00
180,cda,52.47517364,4.99070671,0,0.00E+00
181,gl,52.47517364,4.99070671,6,1.00E+00
182,sgp,52.3731,4.8922,2,1.00E+00
183,cda,52.2723,4.96929,4,6.00E+00
184,vvd,52.36181814,4.9007065,4,2.00E+00
185,sgp,52.31375,4.93771,4,7.00E+00
